Model,rmse,mae,r2,mse
RandomForestRegressor,0.7082834878543312,0.501656003231442,0.9800703191119429,0.5016654991670965
LinearRegression,0.7325106624860162,0.5212631709868708,0.9786835926061679,0.5365718706557023
